	Unnamed: 0	ID	Title	Weight [gram/serving]	CO2-Value [gram CO2/serving]	CO2 rating	FAT	WATER	ENERC	PROT	category	category_en
0	0	4300175162708	K Classic - Junger Gemüsemais	100	9.0	20.812	3.4802523625975725	52.9998341763241	765.6555197714661	8.60119512470543	Gemüsekonserven	Tinned vegetables
1	1	4388840231829	ja! Gemüsemais	100	17.0	37.941	2.3125965927718366	35.2184308914952	1070.401621322562	5.715417293564683	Gemüsekonserven	Tinned vegetables
2	2	8851613101392	Aroy-D - Kokosnussmilch	100	35.0	47.49	25.2	33.8600001952217	1230.0	5.34	Kokosmilch	Coconut milk
3	3	4003994111000	Kelloggs Cornflakes Die Originalen 375 g	100	29.0	50.203	2.305610303458684	10.145873286948301	1458.792557381658	7.147391908093415	Ceralien, Cornflakes	Cereals, cornflakes
4	4	4005009100542	Tortilla Chips Meersalz	100	55.0	53.102	25.16800000000001	5.083	1918.4	13.321000000000002	Tortilla Chips	Tortilla chips
5	5	4009790005628	Meienburg Sonnenblumenkerne	100	92.0	57.1	53.0	4.5	2590.0	21.3	Sonnenblumenkerne	Sunflower seeds
6	6	7610169013310	Migros Engagement Bio Pumpernickel	100	22.0	58.462	1.0688265077847958	45.2052479155141	861.3484209795122	5.344132538923978	Brot	Bread
7	7	4305399028052	Naturkind - Pumpernickel	100	22.0	58.465	1.05401200309993	44.9431163556091	862.4146980719913	5.318314207940918	Brot	Bread
8	8	8690777653008	Sera Ajvar	100	44.0	61.076	11.526800045126135	22.286400028084003	1276.523999561478	12.058200004007881	Gemüsaufstriche &amp; -salate	Vegetable Spreads &amp; Salads
9	9	4009249020240	Lieken Urkorn – Kleines Kerni mit Sonnenblumenkernen	100	30.0	64.721	5.765990925744249	45.0640169190625	956.8634930944156	6.286966528588902	Brot	Bread
10	10	4071800000824	Harry - Das volle Korn	100	27.0	66.907	1.1215157232649562	40.061503835272106	935.5690113255383	5.691214285633488	Brot	Bread
11	11	4012860003110	Bautz'ner - Senf mittelscharf	100	20.0	67.115	6.659617578430964	80.27022264174859	394.3340111754548	4.79494421432456	Senf &amp; Senfsaucen	Mustard &amp; mustard sauces
12	12	4260397980088	Berioo Bio Kakao-Nibs	100	74.0	67.14	24.5	5.1	1690.0	19.8	Kakaopulver ohne Zucker	Cocoa without sugar
13	13	4311527608225	Edeka Ackergold Mehligkochend	100	11.0	67.383	0.1	78.7	320.0	2.0	Kartoffeln	Potatoes
14	14	7610632971826	Bio Kartoffeln festkochend	100	11.0	67.383	0.1	78.7	320.0	2.0	Kartoffeln	Potatoes
15	15	4023900540946	Bamboo Garden Asia Kokosmilch fettreduziert	100	49.0	69.502	25.20000100000093	53.855120059662106	1230.0148000138488	5.340004000003742	Kokosmilch	Coconut milk
16	16	8697420843922	Çekirdeko Salzige Sonnenblumenkerne	100	85.0	70.172	37.98297000977779	3.25330317062306	1856.1489117985752	15.264853985061645	Sonnenblumenkerne	Sunflower seeds
17	17	4305615183169	enerBio Dinkel-Vollkornbrot	100	20.0	70.306	1.3120120350436713	46.5667147847484	271.40403173962966	5.680167487691084	Brot	Bread
18	18	29005017	Diadem - Raffinade Zucker	100	34.0	70.345	0.0	0.0	1700.0	0.0	Zucker	Sugar
19	19	4000412010105	Grafschafter – Goldsaft Zuckerrübensirup	100	34.0	70.345	0.0	0.0	1700.0	0.0	Rübenkraut, Sirup &amp; Melasse	Turnip tops, syrup &amp;amp; molasses
20	20	7610200340689	Bio Zucker Feinkristall	100	34.0	70.345	0.0	0.0	1700.0	0.0	Zucker	Sugar
21	21	4388844029293	Rewe Bio Pumpernickel	100	20.0	70.822	1.380181125081141	44.9172263135253	215.81013955814203	5.8971375344376025	Brot	Bread
22	22	4009077020122	Em-Eukal Wildkirsch Kinder Hustenbonbons 75 g	100	34.0	71.029	0.0005833880718876999	2.09354859537213	1654.0821627564897	0.3659254291226875	Bonbons &amp; Lutscher	Candy &amp;amp; lollipops
23	23	4316268432429	Botato Kartoffel Wedges	100	20.0	71.343	4.032246325534036	70.4859228567184	512.6668900507627	3.5011007259687315	Kartoffelbeilagen &amp; Pommes Frites	Potato slices &amp; French fries
24	24	7610200010186	Gelvite	100	35.0	72.555	0.2653457621293122	0.0	1675.8112153993313	0.0	Verdickungs- &amp; Geliermittel	Thickeners &amp;amp; gelling agents
25	25	4008407016415	Märsch Blaumohn	100	92.0	73.145	35.6	5.2	1911.0	19.2	Mohn	Poppy seeds
26	26	4006544416006	Südzucker – Gelierzucker 2+1	100	35.0	73.21	0.0	0.0	1668.4577810083395	0.0	Verdickungs- &amp; Geliermittel	Thickeners &amp;amp; gelling agents
27	27	4032600122055	Pfanni Kartoffel Püree besonders locker 3 x 80 g	100	12.0	73.344	0.099	77.913	316.8	1.98	Kartoffelbeilagen &amp; Pommes Frites	Potato slices &amp; French fries
28	28	4000417020000	Ritter Sport Halbbitter-Schokolade	100	49.0	74.167	16.1849994199968	0.6629999999999999	1371.2300268647452	2.5740000000000003	Schokoladetafeln	chocolate bars
29	29	4071800039237	Harry Dinkel Vollkorn	100	39.0	74.97800000000002	7.647524813293879	37.789819226434005	945.8506655090243	7.723318543050097	Brot	Bread
30	30	4388844014473	Rewe Bio – Pfeffer, schwarz, ganz	100	32.0	75.38	3.26	10.5	76.0	11.0	Gewürze	Spices
31	31	4000462817044	GOLD PUDER - Weich-Weizen Grieß	100	50.0	75.402	1.2	11.0	1490.0	12.6	Grieß	Semolina
32	32	4018722341154	ALB-GOLD Fit 'n' Free Bio Buchweizen Pasta glutenfrei,	100	50.0	75.404	2.8	12.0	1450.0	12.0	Farfalle &amp; Muschelnudeln	Farfalle &amp; Pasta noodles
33	33	4005009106780	Leinsamen	100	92.0	75.626	33.6	6.4	1950.0	17.9	Leinsamen	Linseeds
34	34	5010029000504	Weetabix	100	49.0	75.905	1.0450000000000002	1.07648747874936	1454.0053741288916	11.120675526637992	Ceralien, weitere	Ceralien, more
35	35	4005500087762	Thomy - Delikatess-Senf mittelscharf	100	28.0	76.084	8.363956857918481	73.58364195854742	501.15063839820687	6.044450027779745	Senf &amp; Senfsaucen	Mustard &amp; mustard sauces
36	36	4012367012608	Kathi Weizenmehl - Type 405	100	50.0	76.086	1.1	0.0	1470.0	11.5	Mehl, Weizen	Flour, wheat
37	37	4008400395029	tic tac Fresh Mint 100er Box 49 g	100	37.0	76.168	0.550375820309606	0.04576657568498431	1666.4781556954028	0.09718237161592982	Bonbons &amp; Lutscher	Candy &amp;amp; lollipops
38	38	4316268413428	Korn Mühle - Roggenkraftbrot	100	31.0	76.635	1.1332087293383133	39.6902268823779	926.3229767433893	5.793965492895165	Brot	Bread
39	39	9000452031141	Vollkorn Zahlennudeln	100	51.0	76.91	1.2	11.0	1490.0	12.6	Buchstaben-, Motiv- &amp; Suppennudeln	Letters, motifs &amp;amp; noodles
40	40	4104420094963	ALNATURA Dinkel Drink Natur	100	9.0	78.297	1.646551776076742	92.20412097068292	157.3089628708309	0.984876114509773	Hafer- &amp; Getreidemilch	Oat &amp;amp; grain milk
41	41	4005009101310	Kokosmilch	100	57.0	78.312	25.2	39.5742857142857	1230.0	5.34	Kokosmilch	Coconut milk
42	42	4008258510001	Chia-Samen	100	92.0	78.32600000000002	30.74	5.8	2034.0	16.54	Weitere Saaten &amp; Kerne	More seeds &amp; kernels
43	43	8076808060654	Barilla Nudeln Farfalle 500 g	100	52.0	78.418	1.2	11.0	1490.0	12.6	Farfalle &amp; Muschelnudeln	Farfalle &amp; Pasta noodles
44	44	4316268499583	Kornmühle Schokochips	100	51.0	78.898	3.3009791147896976	1.54213929135021	1514.655755153558	9.113599879296448	Ceralien, Cornflakes	Cereals, cornflakes
45	45	29039210	Mauritius - Schoko & Gelee	100	39.0	79.357	3.5842789688081864	2.63599744795396	1518.900586506029	0.043397012215506715	Fruchtgelee	Fruit jelly
46	46	4104420021037	Alnatura Ahornsirup Grad C	100	34.0	79.837	0.0	13.0	1480.0	0.0	Weitere Sirupe	Other syrups
47	47	4311501306475	EDEKA Gelee-Bananen	100	43.0	80.051	7.927738530973606	11.6625249456305	1547.796573478106	0.31642362812034164	Fruchtgelee	Fruit jelly
48	48	7622300002848	SUCHARD Kakao Express	100	41.0	80.57600000000002	4.56	21.318144009598	1324.0366734791453	3.989	Instantkakao	Instant cocoa
49	49	4005009101204	Kartoffelpüree	100	14.0	82.441	0.1979994847924068	75.7547995090992	310.80169954613183	2.129955466592948	Knödel &amp; Pürees	Dumplings &amp; purees
50	50	4032582002260	Classic Ayurveda - Bio Kreuzkümmel ganz	100	68.0	82.634	22.3	8.1	405.0	17.8	Gewürze	Spices
51	51	4388840101955	ja! - 6 Baguette-Brötchen	100	43.0	83.12200000000001	1.078702024899312	23.1257731219727	1106.8315195703465	9.073266606965868	Brötchen zum Aufbacken	Roll for baking
52	52	7610200329141	TERRASUISSE 	100	51.0	83.47	1.32	2.44	1244.8	11.08	Mehl, Ur- &amp; Einkorn	Flour, original and einkorn
53	53	4071800000879	Harry 1688 Unser Mildes	100	40.0	83.801	2.127469029659488	31.3780070162118	1029.5467271526145	7.566108660993412	Brot	Bread
54	54	4017100706004	Lorenz Saltletts Sticks	100	59.0	83.835	6.2255448802072735	0.0053644917831333	1513.6917802761955	10.324026502118494	Laugenstangen &amp; -Brezeln	Lye bars and pretzels
55	55	4003880685257	Agrarfrost Germany Knusper Frites	100	22.0	84.098	5.488	73.97800000000001	500.6	1.88	Kartoffelbeilagen &amp; Pommes Frites	Potato slices &amp; French fries
56	56	4006040120827	Rapunzel - Polenta-Maisgrieß	100	50.0	84.116	1.1	11.0	1480.0	8.8	Polenta	Polenta
57	57	5908221103461	Billy Tiger Maissnacks	100	50.0	84.116	1.1	11.0	1480.0	8.8	Erdnuss- &amp; Maisflips	Peanut &amp; cornflips
58	58	4000400112156	Mondamin Pfannkuchen Teig-Mix  198 g	100	58.0	84.463	3.2558740594805062	0.33840545351519	1559.9637099367926	10.921230963255065	Kuchen-, Torten- &amp; Keksbackmischungen	Cake, pie &amp; biscuit baking mixes
59	59	4009249022800	GOLDEN TOAST Meister Brötchen, 400 g	100	45.0	84.994	0.8685885335518031	16.858753584633902	1134.071462498584	9.074432229668501	Brötchen zum Aufbacken	Roll for baking
60	60	4009249038658	LIEKEN URKORN Bauernmild Brot, 500 g	100	42.0	85.09	2.174340704725822	27.707376928983106	1064.6151189428292	7.797334575169969	Brot	Bread
61	61	4316268388948	Korn Mühle Weizenmischbrot	100	41.0	85.354	2.2263938932746346	30.964735295229	1049.1127190147563	7.4483399266691155	Brot	Bread
62	62	4311501461150	Gut & Günstig Milde Bauern Schnitte	100	41.0	85.491	2.1275000338899988	29.965521506161494	1029.5380613371526	7.5661850084411695	Brot	Bread
63	63	4010355132871	dm bio Soja Reis Drink Natur	100	8.0	86.992	1.085	94.6547457398217	92.05	0.89	Reismilch &amp; - drinks	Rice milk &amp; drinks
64	64	4311501312018	Edeka Bio – Spaghetti Vollkorn	100	50.0	87.322	1.7	14.3	1370.0	8.5	Spaghetti &amp; Langnudeln	Spaghetti &amp; long noodles
