Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	ID	product_name	Weight [gram/serving]	carbon-footprint_100g	CO2 rating	FAT	WATER	energy_100g	PROT	category	parent_category	main_category	price_per_100g	store_currency
24	24	24	24	24	24	24	24	24	836069006697	Bofrost Schupfnudeln	100	48.0	137.47	1.2548927110109114	47.98632165265121	723.7236115335272	5.232944087494167	Kartoffelbeilagen &amp; Pommes Frites	gemuese_pilze	Plant-based	0.198	EURO
25	25	25	25	25	25	25	25	25	4311501373682	Aubergine Streichcreme mit feinen Auberginen-Stücken	100	118.0	138.63299999999998	34.07920986245049	47.485067587045	1464.1399001005466	4.964218296663264	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	0.92	EURO
26	26	26	26	26	26	26	26	26	20042936	Mei Tai Maiskölbchen	100	50.0	143.725	1.6728805923366443	47.798790938385494	796.7690028822574	4.158303186000105	Gemüsekonserven	gemuese_pilze	Plant-based	0.68	EURO
27	27	27	27	27	27	27	27	27	4003880007080	Kartoffelpuffer	100	30.0	147.23	0.8048334453956487	71.0500644497475	441.4961709185808	1.9894149375429613	Kartoffelgerichte	gemuese_pilze	Plant-based	0.19899999999999998	EURO
28	28	28	28	28	28	28	28	28	4024698485020	Golßener - Spreewälder Frühlingskartoffelsalat	100	42.0	147.593	6.883926166098599	72.1735246833586	549.2497066640653	1.6323200287061073	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based		
29	29	29	29	29	29	29	29	29	4250426210842	Küstengold Röstzwiebeln	100	128.0	150.371	30.15975334469851	29.433005710299	1641.2593843926372	4.232947838453208	Trockengemüse	gemuese_pilze	Plant-based	1.8	EURO
30	30	30	30	30	30	30	30	30	7613312076149	Gemüse Rösti 500g	100	79.0	154.025	12.359754669725168	31.0028633615198	1185.070225141517	1.2106869747512234	Kartoffelgerichte	gemuese_pilze	Plant-based	0.172	EURO
31	31	31	31	31	31	31	31	31	4001163131408	Henglein Seidenknödel	100	33.0	155.399	0.6105741952731055	68.078416877301	475.16221363556326	2.0177629645774378	Knödel &amp; Pürees	gemuese_pilze	Plant-based		
32	32	32	32	32	32	32	32	32	4001163131507	Henglein Mini Knödel	100	70.0	159.822	0.8743726483241538	13.2903564433695	1263.2593524915774	2.222407790926161	Knödel &amp; Pürees	gemuese_pilze	Plant-based		
33	33	33	33	33	33	33	33	33	4311527760145	Edeka Süßkartoffeln	100	68.0	160.083	0.1	15.7	1430.0	0.6	Gemüse	gemuese_pilze	Plant-based	0.45	EURO
34	34	34	34	34	34	34	34	34	4104420035744	ALNATURA Brotaufstrich Kichererbse mit Ingwer	100	125.0	161.616	28.356035616967496	47.477596404608406	1371.0466677637833	5.221276723486642	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	0.54	EURO
35	35	35	35	35	35	35	35	35	4388844119611	ja Kartoffel-Knödel halb und halb	100	48.0	164.69400000000005	0.5630365642286117	34.5388559290978	639.6227190025327	1.9354275252304656	Knödel &amp; Pürees	gemuese_pilze	Plant-based	0.4	EURO
36	36	36	36	36	36	36	36	36	4305615183398	enerBio - Kartoffelpüree	100	70.0	165.57299999999995	0.5066406723479587	17.2967827605587	1388.7506243441346	0.7550574070255063	Kartoffelgerichte	gemuese_pilze	Plant-based		
37	37	37	37	37	37	37	37	37	4012712004821	Letscho Premium	100	78.0	174.49200000000005	5.6433002503416105	47.842404068911	785.1317265239802	7.324104000324877	Gemüsekonserven	gemuese_pilze	Plant-based	0.22000000000000006	EURO
38	38	38	38	38	38	38	38	38	4000400130815	Pfanni Kartoffel Knödel-Teig der Klassiker halb & halb für 12 Knödel 1 Stk	100	47.0	180.291	0.5412670223395044	54.0197148966253	699.6627046560867	1.3963726321307015	Knödel &amp; Pürees	gemuese_pilze	Plant-based		
39	39	39	39	39	39	39	39	39	4045851032516	Natsu Salat Dinkel-Quinoa Mit Edamame	100	74.0	182.835	9.160362239191858	61.858337834564196	605.6513974557718	5.540571733510852	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.53	EURO
40	40	40	40	40	40	40	40	40	7613269372158	Migros Bio Linsensalat	100	105.0	188.107	6.47132883293712	39.2655716749066	424.26637075502714	15.859957418381072	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based		
41	41	41	41	41	41	41	41	41	4011437042453	VITAM Kichererbsen Brotaufstrich, 125g	100	94.0	188.728	15.657691203636027	63.1272811850502	840.7795602939437	4.413983651203434	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	1.52	EURO
42	42	42	42	42	42	42	42	42	4009239277999	City Farming Bulgur-Salat	100	55.0	189.48	4.077998399735447	71.5644639984901	508.04072498548163	4.187463249921364	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based		
43	43	43	43	43	43	43	43	43	4013222143000	Friweika - Bratkartoffeln	100	37.0	192.96400000000003	1.1985458111564402	76.195106441373	343.3564905125372	2.450013875514069	Kartoffelgerichte	gemuese_pilze	Plant-based		
44	44	44	44	44	44	44	44	44	4059300614130	Delikatess-Krautsalad	100	56.0	193.029	6.879322878284001	69.06655280550311	541.1213634754076	1.7467584805251946	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.53	EURO
45	45	45	45	45	45	45	45	45	24069724	Hummus	100	137.0	193.93400000000003	23.1387342115624	48.0182531996659	1227.5042827435445	6.292529880569908	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	0.96	EURO
46	46	46	46	46	46	46	46	46	22153241	Hummus natur	100	131.0	194.645	21.499128943715768	51.0389997536226	1152.5065248862102	6.46729665834004	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based		
47	47	47	47	47	47	47	47	47	7610200042804	Migros Kichererbsen	100	47.0	195.056	1.6666499995187103	78.0658870203799	358.6630798964265	4.999949998556132	Gemüsekonserven	gemuese_pilze	Plant-based	0.54	EURO
48	48	48	48	48	48	48	48	48	4045178003954	Demeter Campo Verde Brotaufstrich Basilikum-Tomate 110 g	100	96.0	196.294	14.588541053158036	53.11463080705179	908.0779568975903	3.0415747406520897	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	0.318	EURO
49	49	49	49	49	49	49	49	49	7610200095749	M-Classic Schwarzwurzeln	100	21.0	196.492	0.252	84.096789619882	139.23	0.8819999999999999	Gemüsekonserven	gemuese_pilze	Plant-based	0.341	EURO
50	50	50	50	50	50	50	50	50	4051767596080	Gourmet Compagnie Semmelknödel	100	83.0	199.498	2.329879175517175	47.085606047843505	777.4172994334476	7.769139400598887	Knödel &amp; Pürees	gemuese_pilze	Plant-based	0.48	EURO
51	51	51	51	51	51	51	51	51	3083680002752	Bonduelle - Linsen	100	55.0	202.946	0.3817312774084637	75.3184388367788	374.7328706559752	7.189272391192731	Gemüsekonserven	gemuese_pilze	Plant-based	0.64	EURO
52	52	52	52	52	52	52	52	52	42300755	Satori - Mungobohnenkeimlinge	100	26.0	206.475	0.4940529522760886	91.6965252819375	118.6871713414888	2.7172912375184874	Gemüsekonserven	gemuese_pilze	Plant-based		
53	53	53	53	53	53	53	53	53	4311527827985	EDEKA BIO TAFELTRAUBWN	100	28.0	207.866	0.3	81.1	293.0	0.7	Gemüse	gemuese_pilze	Plant-based	0.098	EURO
54	54	54	54	54	54	54	54	54	8025544317157	Lavinia Trauben Rote Kernlos	100	28.0	207.866	0.3	81.1	293.0	0.7	Gemüse	gemuese_pilze	Plant-based		
55	55	55	55	55	55	55	55	55	4019738010713	Viana Jungle Energizer	100	172.0	209.861	26.070918731281754	39.9033689064065	1441.469230918724	8.043846071372396	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	0.49700000000000005	EURO
56	56	56	56	56	56	56	56	56	4104420112100	ALNATURA - Junge Erbsen	100	54.0	215.81	0.0	74.3	390.6	6.0	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.64	EURO
57	57	57	57	57	57	57	57	57	4388844240209	Rewe Bio – Wurzelpetersilie	100	32.0	223.963	0.4	76.8	221.0	1.4	Gemüse	gemuese_pilze	Plant-based		
58	58	58	58	58	58	58	58	58	8011185001784	Feldsalat	100	24.0	224.62	0.4	92.8	96.0	2.0	Blattsalat	gemuese_pilze	Plant-based		
59	59	59	59	59	59	59	59	59	7610829517424	Coop Betty Bossi Taboulé-Salat Oriental	100	96.0	231.474	9.000060104540875	59.289012207635096	812.3838686603142	4.000005785296066	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.37	EURO
60	60	60	60	60	60	60	60	60	4005047202307	Eden Nuss-Paprika	100	93.0	236.453	7.2703113562371025	62.049978950496204	674.1283518593123	5.5111843411599155	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based		
61	61	61	61	61	61	61	61	61	4006040116462	Rapunzel Oliven Kalamata mit Stein in Lake	100	50.0	241.479	6.75	81.83800000000002	282.705	0.70575	Oliven	gemuese_pilze	Plant-based	29.84	EURO
62	62	62	62	62	62	62	62	62	5202423200110	ΜΑΝΙ Kalamata Oliven, al naturale, entkernt, bio NL Fair 175g Glas	100	81.0	241.566	12.475599124545171	76.29979098890371	526.93794280405	1.3966699825666415	Oliven	gemuese_pilze	Plant-based		
63	63	63	63	63	63	63	63	63	4104420034167	Alnatura Kichererbsen 350 g	100	78.0	247.303	2.2840809577024035	69.94049555867022	491.5342220975571	6.852242873107209	Gemüsekonserven	gemuese_pilze	Plant-based	0.423	EURO
64	64	64	64	64	64	64	64	64	5202423281836	ΜΑΝΙ Kalamata Olivenpaste, bio NL Fair, 180g Glas	100	101.0	249.085	16.282591333226875	72.90262033271871	660.0781066495234	1.2921926665292682	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	1.57	EURO
65	65	65	65	65	65	65	65	65	4311596463336	Pfannengemüse - Französische Art	100	68.0	257.202	2.1038948862792	70.829434208018	374.2410071629058	5.239831448262598	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.172	EURO
66	66	66	66	66	66	66	66	66	4051009010770	Kühlmann - Bunter Bohnensalat mit Quinoa	100	75.0	260.499	4.469602704912281	69.6086245507945	519.6921833814963	3.4955875853872382	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.27	EURO
67	67	67	67	67	67	67	67	67	24610414	Crostini-Dip	100	206.0	267.17900000000003	32.182808804086555	42.4386597631646	1325.9498720034464	2.4779856601170684	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	1.0	EURO
68	68	68	68	68	68	68	68	68	4008900245909	Eier Salat	100	172.0	267.478	21.291029481228247	55.426673199400604	1023.9243112558113	6.5192189425676705	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.4	EURO
69	69	69	69	69	69	69	69	69	7613312015940	Migros Bio Griechische Oliven Amphisis	100	53.0	272.29400000000004	6.384097406868542	85.01312824950651	267.4605861952264	0.6751298758247244	Oliven	gemuese_pilze	Plant-based	29.84	EURO
70	70	70	70	70	70	70	70	70	7617027633567	Sauerkraut	100	30.0	286.649	0.1970332574968852	88.9758026898185	125.0126784293866	1.378146801505572	Kraut &amp; Kohl	gemuese_pilze	Plant-based	0.184	EURO
71	71	71	71	71	71	71	71	71	4012200043264	Schlemmertöpfchen - Rote Beete Kugeln	100	42.0	290.7340000000001	0.08812205722702947	80.1715871009738	292.3191648403273	1.326330853934125	Essigkonserven	gemuese_pilze	Plant-based	0.53	EURO
72	72	72	72	72	72	72	72	72	4021984061159	Sapros Nocellara Oliven In Kräutern	100	111.0	292.088	15.104383913303511	74.5362953520103	613.7014935054849	1.2119839755762032	Oliven	gemuese_pilze	Plant-based		
73	73	73	73	73	73	73	73	73	4388844016118	REWE Feine Welt Kalamata Oliven	100	55.0	296.288	6.224443876210443	88.13853319333641	257.4429987200638	0.6473421631258859	Oliven	gemuese_pilze	Plant-based	1.09	EURO
74	74	74	74	74	74	74	74	74	4002239814003	Feinkost Dittmann - Oliven, grün ohne Stein	100	55.0	296.38	6.249812499495684	88.4973459902981	258.4922449791415	0.6499804999475512	Oliven	gemuese_pilze	Plant-based	1.44	EURO
75	75	75	75	75	75	75	75	75	20130206	Bio Sonne Bio-Brotaufstrich Tomate-Basilikum	100	124.0	301.969	12.51467445864347	64.420425196377	779.5925686438519	2.1902570357026385	Gemüsaufstriche &amp; -salate	gemuese_pilze	Plant-based	1.52	EURO
76	76	76	76	76	76	76	76	76	4012200032947	Kühne Röstzwiebeln  100 g	100	129.0	304.598	15.144874732255804	67.8431664398788	761.8252109877103	1.6515378551789859	Trockengemüse	gemuese_pilze	Plant-based		
77	77	77	77	77	77	77	77	77	4013200555542	Ibero Spanische grüne Manzanilla Oliven gefüllt mit Jalapeñocreme	100	57.0	310.571	5.915668222995468	87.17505435734941	252.30115770309254	0.6943974951915286	Oliven	gemuese_pilze	Plant-based	0.65	EURO
78	78	78	78	78	78	78	78	78	4311527569786	Gut&Günstig Möhren	100	32.0	316.909	0.3	89.2	158.0	0.8	Karotten, Möhren &amp; Rüben	gemuese_pilze	Plant-based		
79	79	79	79	79	79	79	79	79	4388844220270	Rewe Bio Möhren	100	32.0	316.909	0.3	89.2	158.0	0.8	Gemüse	gemuese_pilze	Plant-based		
80	80	80	80	80	80	80	80	80	9120030310052	Marchfelder - Frühkarotten, Klasse 1	100	32.0	316.909	0.3	89.2	158.0	0.8	Karotten, Möhren &amp; Rüben	gemuese_pilze	Plant-based		
81	81	81	81	81	81	81	81	81	7616800810508	Farmer's Best Hackspinat CH	100	67.0	317.155	4.9606945331724575	85.57811912206701	266.23315313821445	2.6542260147043995	Gemüse	gemuese_pilze	Plant-based		
82	82	82	82	82	82	82	82	82	4012625440372	Marmara Schwarze Oliven Mit Stein Devasa	100	87.0	320.183	9.948522363319883	81.6927198499141	411.4708849469105	1.034646325785268	Oliven	gemuese_pilze	Plant-based	0.687	EURO
83	83	83	83	83	83	83	83	83	4334011173030	Real,- Bio kaisergemüse Blumenkohl, Karotten Und Broccoli	100	38.0	324.527	0.33371148788117005	90.61588282593607	132.71637813486575	2.081036737959685	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.252	EURO
84	84	84	84	84	84	84	84	84	4002239438001	Feinkost Dittmann Spanische grüne Oliven gefüllt mit Paprikapaste	100	95.0	327.702	9.488103882729526	64.4762855763415	392.42797658969323	0.9867628038038708	Oliven	gemuese_pilze	Plant-based	1.44	EURO
85	85	85	85	85	85	85	85	85	9101169077160	Spar Natur pur Bio Broccoli	100	44.0	329.9	0.4	90.7	131.0	3.0	Kraut &amp; Kohl	gemuese_pilze	Plant-based	0.767	EURO
86	86	86	86	86	86	86	86	86	4300175147910	K-Classic Kartoffelbrei	100	120.0	332.395	7.197316039206598	43.7703048942179	616.3621176016377	2.565109593641245	Kartoffelgerichte	gemuese_pilze	Plant-based	1.26	EURO
87	87	87	87	87	87	87	87	87	4311527576524	Edeka Zarte Lotte	100	37.0	332.412	0.15	79.4	22.0	1.9	Zwiebeln, Lauch &amp; Knoblauch	gemuese_pilze	Plant-based		
88	88	88	88	88	88	88	88	88	39400017301	Bushs Best Kidney Beans	100	82.0	332.64300000000014	0.40800182696514425	72.55458558957059	397.03998411933776	5.28869882109235	Gemüse	gemuese_pilze	Plant-based	0.153	EURO
89	89	89	89	89	89	89	89	89	4005500013495	Maggi Kartoffel Püree komplett mit feinem Buttergeschmack 2x 100 g	100	106.0	336.232	6.051550266435647	65.8720541279154	594.2659760164914	2.9480678686433506	Knödel &amp; Pürees	gemuese_pilze	Plant-based		
90	90	90	90	90	90	90	90	90	4006040411611	Rapunzel Schwarze Bohnen Black Beans	100	64.0	337.093	0.32240506656225826	81.0147399483035	258.4613950274104	4.191265865309358	Gemüsekonserven	gemuese_pilze	Plant-based		
91	91	91	91	91	91	91	91	91	7610632992197	MIGROS - rote Zwiebeln	100	46.0	338.63	0.14199160736196326	63.1862652760736	115.72316000000002	0.922945447852761	Zwiebeln, Lauch &amp; Knoblauch	gemuese_pilze	Plant-based		
92	92	92	92	92	92	92	92	92	42208723	Alnatura 24/7 Bio Grüne Oliven mit Mandeln	100	139.0	342.82199999999995	12.175851782810645	72.67833409184891	617.4427210412324	4.4405058035693425	Oliven	gemuese_pilze	Plant-based	29.84	EURO
93	93	93	93	93	93	93	93	93	4008100171534	Hengstenberg Rote Bete-Salat 330 g	100	44.0	353.785	0.0908780838491305	83.9417873258207	203.31086805640047	1.3691712577369577	Essigkonserven	gemuese_pilze	Plant-based	0.36	EURO
94	94	94	94	94	94	94	94	94	4028286401164	Hainich Sauerkraut	100	40.0	354.625	0.18	81.37	114.3	1.2599999999999998	Kraut &amp; Kohl	gemuese_pilze	Plant-based	0.184	EURO
95	95	95	95	95	95	95	95	95	4006040277514	Rapunzel Kapern in Olivenöl	100	223.0	356.959	27.304201748694872	62.160935193167106	1064.4543308857021	1.6520010002067391	Antipasti	gemuese_pilze	Plant-based	4.99	EURO
96	96	96	96	96	96	96	96	96	4311501469576	EDEKA Steinpilze	100	55.0	373.386	0.4	88.6	132.0	3.6	Pilze frisch	gemuese_pilze	Plant-based	1.376	EURO
97	97	97	97	97	97	97	97	97	4316268361545	Suppengrün	100	45.0	385.478	0.3269695339486552	88.6268234928517	150.48999152739475	1.7105568665919062	Gemüse	gemuese_pilze	Plant-based	0.92	EURO
98	98	98	98	98	98	98	98	98	40081960	Hengstenberg Rotessa Rotkohl traditionell 550 g	100	49.0	393.445	0.3018871258083269	84.3889640385054	203.4844652940858	1.2768320081890443	Gemüsekonserven	gemuese_pilze	Plant-based	0.252	EURO
99	99	99	99	99	99	99	99	99	4334011187013	Real Bio Buttergemüse	100	132.0	398.468	7.298799499977433	71.7960905006071	566.6871249903728	3.8453414999420814	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.33	EURO
100	100	100	100	100	100	100	100	100	4250241204064	Iglo Buttergemüse fein & knackig, 300 g	100	103.0	419.877	5.342521988109783	78.6508079209388	416.0466607249447	2.2823956238899505	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.33	EURO
101	101	101	101	101	101	101	101	101	7610632948897	Coop Naturaplan Bio Zucchetti	100	41.0	425.031	0.2	94.0	80.0	1.8	Gemüse	gemuese_pilze	Plant-based	0.098	EURO
102	102	102	102	102	102	102	102	102	4311501354094	EDEKA Chili-Bohnen 425 g	100	106.0	433.007	0.4007333620441311	72.4271662132298	388.6650517927162	5.263660113761372	Gemüsekonserven	gemuese_pilze	Plant-based	0.223	EURO
