	ID	Title	Weight [gram/serving]	CO2-Value [gram CO2/serving]	CO2 rating	FAT	WATER	ENERC	PROT	category	parent_category	category_en		
29	4250426210842	Küstengold Röstzwiebeln	100	128	150.371	30.1597533446985	29.433005710299	1641.25938439264	4.23294783845321	Trockengemüse	gemuese_pilze	vegetable mushrooms		
30	7613312076149	Gemüse Rösti 500g	100	79	154.025	12.3597546697252	31.0028633615198	1185.07022514152	1.21068697475122	Kartoffelgerichte	gemuese_pilze	vegetable mushrooms		
31	4001163131408	Henglein Seidenknödel	100	33	155.399	0.610574195273106	68.078416877301	475.162213635563	2.01776296457744	Knödel &amp	 Pürees	gemuese_pilze		
32	4001163131507	Henglein Mini Knödel	100	70	159.822	0.874372648324154	13.2903564433695	1263.25935249158	2.22240779092616	Knödel &amp	 Pürees	gemuese_pilze		
33	4311527760145	Edeka Süßkartoffeln	100	68	160.083	0.1	15.7	1430	0.6	Gemüse	gemuese_pilze	vegetable mushrooms		
34	4104420035744	ALNATURA Brotaufstrich Kichererbse mit Ingwer	100	125	161.616	28.3560356169675	47.4775964046084	1371.04666776378	5.22127672348664	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
35	4388844119611	ja Kartoffel-Knödel halb und halb	100	48	164.694	0.563036564228612	34.5388559290978	639.622719002533	1.93542752523047	Knödel &amp	 Pürees	gemuese_pilze		
36	4305615183398	enerBio - Kartoffelpüree	100	70	165.573	0.506640672347959	17.2967827605587	1388.75062434413	0.755057407025506	Kartoffelgerichte	gemuese_pilze	vegetable mushrooms		
37	4012712004821	Letscho Premium	100	78	174.492	5.64330025034161	47.842404068911	785.13172652398	7.32410400032488	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
38	4000400130815	Pfanni Kartoffel Knödel-Teig der Klassiker halb & halb für 12 Knödel 1 Stk	100	47	180.291	0.541267022339504	54.0197148966253	699.662704656087	1.3963726321307	Knödel &amp	 Pürees	gemuese_pilze		
39	4045851032516	Natsu Salat Dinkel-Quinoa Mit Edamame	100	74	182.835	9.16036223919186	61.8583378345642	605.651397455772	5.54057173351085	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
40	7613269372158	Migros Bio Linsensalat	100	105	188.107	6.47132883293712	39.2655716749066	424.266370755027	15.8599574183811	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
41	4011437042453	VITAM Kichererbsen Brotaufstrich	 125g	100	94	188.728	15.657691203636	63.1272811850502	840.779560293944	4.41398365120343	Gemüsaufstriche &amp	 -salate		
42	4009239277999	City Farming Bulgur-Salat	100	55	189.48	4.07799839973545	71.5644639984901	508.040724985482	4.18746324992136	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
43	4013222143000	Friweika - Bratkartoffeln	100	37	192.964	1.19854581115644	76.195106441373	343.356490512537	2.45001387551407	Kartoffelgerichte	gemuese_pilze	vegetable mushrooms		
44	4059300614130	Delikatess-Krautsalad	100	56	193.029	6.879322878284	69.0665528055031	541.121363475408	1.74675848052519	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
45	24069724	Hummus	100	137	193.934	23.1387342115624	48.0182531996659	1227.50428274354	6.29252988056991	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
46	22153241	Hummus natur	100	131	194.645	21.4991289437158	51.0389997536226	1152.50652488621	6.46729665834004	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
47	7610200042804	Migros Kichererbsen	100	47	195.056	1.66664999951871	78.0658870203799	358.663079896426	4.99994999855613	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
48	4045178003954	Demeter Campo Verde Brotaufstrich Basilikum-Tomate 110 g	100	96	196.294	14.588541053158	53.1146308070518	908.07795689759	3.04157474065209	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
49	7610200095749	M-Classic Schwarzwurzeln	100	21	196.492	0.252	84.096789619882	139.23	0.882	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
50	4051767596080	Gourmet Compagnie Semmelknödel	100	83	199.498	2.32987917551717	47.0856060478435	777.417299433448	7.76913940059889	Knödel &amp	 Pürees	gemuese_pilze		
51	3083680002752	Bonduelle - Linsen	100	55	202.946	0.381731277408464	75.3184388367788	374.732870655975	7.18927239119273	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
52	42300755	Satori - Mungobohnenkeimlinge	100	26	206.475	0.494052952276089	91.6965252819375	118.687171341489	2.71729123751849	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
53	4311527827985	EDEKA BIO TAFELTRAUBWN	100	28	207.866	0.3	81.1	293	0.7	Gemüse	gemuese_pilze	vegetable mushrooms		
54	8025544317157	Lavinia Trauben Rote Kernlos	100	28	207.866	0.3	81.1	293	0.7	Gemüse	gemuese_pilze	vegetable mushrooms		
55	4019738010713	Viana Jungle Energizer	100	172	209.861	26.0709187312818	39.9033689064065	1441.46923091872	8.0438460713724	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
56	4104420112100	ALNATURA - Junge Erbsen	100	54	215.81	0	74.3	390.6	6	Gemüsebeilagen &amp	 Mischgemüse	gemuese_pilze		
57	4388844240209	Rewe Bio – Wurzelpetersilie	100	32	223.963	0.4	76.8	221	1.4	Gemüse	gemuese_pilze	vegetable mushrooms		
58	8011185001784	Feldsalat	100	24	224.62	0.4	92.8	96	2	Blattsalat	gemuese_pilze	vegetable mushrooms		
59	7610829517424	Coop Betty Bossi Taboulé-Salat Oriental	100	96	231.474	9.00006010454088	59.2890122076351	812.383868660314	4.00000578529607	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
60	4005047202307	Eden Nuss-Paprika	100	93	236.453	7.2703113562371	62.0499789504962	674.128351859312	5.51118434115992	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
61	4006040116462	Rapunzel Oliven Kalamata mit Stein in Lake	100	50	241.479	6.75	81.838	282.705	0.70575	Oliven	gemuese_pilze	vegetable mushrooms		
62	5202423200110	ΜΑΝΙ Kalamata Oliven	 al naturale	 entkernt	 bio NL Fair 175g Glas	100	81	241.566	12.4755991245452	76.2997909889037	526.93794280405	1.39666998256664		
63	4104420034167	Alnatura Kichererbsen 350 g	100	78	247.303	2.2840809577024	69.9404955586702	491.534222097557	6.85224287310721	Gemüsekonserven	gemuese_pilze	vegetable mushrooms		
64	5202423281836	ΜΑΝΙ Kalamata Olivenpaste	 bio NL Fair	 180g Glas	100	101	249.085	16.2825913332269	72.9026203327187	660.078106649523	1.29219266652927	Gemüsaufstriche &amp	1.57	EURO
65	4311596463336	Pfannengemüse - Französische Art	100	68	257.202	2.1038948862792	70.829434208018	374.241007162906	5.2398314482626	Gemüsebeilagen &amp	 Mischgemüse	gemuese_pilze		
66	4051009010770	Kühlmann - Bunter Bohnensalat mit Quinoa	100	75	260.499	4.46960270491228	69.6086245507945	519.692183381496	3.49558758538724	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
67	24610414	Crostini-Dip	100	206	267.179	32.1828088040866	42.4386597631646	1325.94987200345	2.47798566011707	Gemüsaufstriche &amp	 -salate	gemuese_pilze		
68	4008900245909	Eier Salat	100	172	267.478	21.2910294812282	55.4266731994006	1023.92431125581	6.51921894256767	Salatbeilagen &amp	 Fertigsalate	gemuese_pilze		
69	7613312015940	Migros Bio Griechische Oliven Amphisis	100	53	272.294	6.38409740686854	85.0131282495065	267.460586195226	0.675129875824724	Oliven	gemuese_pilze	vegetable mushrooms		
