,origins,manufacturing_places,purchase_places
190533,,Taiwan,"Paris,France"
190750,India,"Pune,Maharashtra,India",Norwalk CT USA
191098,,alemania,valencia
191099,,Alemania,valencia
191365,,Thaïlande,"Lyon,France"
191366,,Thaïlande,"Lyon,France"
191369,,Thaïlande,"Lyon,France"
191709,,USA,Germany
191797,France,lunac,France
192251,,México,Wal-Mart México
192252,México,México,Wal-Mart México
192253,México,Ciudad de México,Wal-mart México
192254,México,México,Wal-Mart México
192256,Ciudad de México,México,Wal-mart México
192257,Ciudad de México,México,Wal-Mart México
192258,México,México,Wal-mart México
192259,Ciudad de México,México,Wal-Mart México
192260,México,Ciudad de México,Wal-mart México
192261,Ciudad de México,México,Wal- mart México
192581,,United Kingdom,"Liverpool,United Kingdom"
192662,,"Taiwan,Etats-Unis d'Amérique","Liévin,France"
192670,,Montréal (Québec),Brossard (Québec)
193156,,China,"Brent,London,UK"
193254,,"Brooklyn,USA","Northville,Michigan,United States"
195173,Estados Unidos,Estado de México,Walmart
195714,MEXIQUE,MEXIQUE,Bridgehampton USA
196348,EU and non EU,United Kingdom,"Liverpool,United Kingdom"
197548,,India,"Medford,MA,USA"
197573,France,France,Canada
197632,,États-Unis,France
198327,México,México,Walmart
199596,Thailand,Thailand,"Lisarow,NSW"
199921,,California USA,"Bellingham,Washington,USA"
200020,"New York,USA","New York,USA,Astoria","New York,NY,USA"
200219,,Belgium,Berkeley
201071,,United States,"Northville,Michigan,United States"
201277,United States,"Marshfield,  WI 54449",United States
201856,"California,USA","Mountain View,CA","Sunnyvale,CA,USA"
202000,,Belgium,"San Francisco,California,USA"
202010,USA,USA,California
202618,Italy,koita exports,United Arab Emirates
202649,,"England,United Kingdom","Liverpool,United Kingdom"
203341,Estados Unidos,México,Walmart
203343,Estados Unidos,México,Walmart
203344,Estados Unidos,México,Walmart
203399,U.S.A.,"Berkeley,CA","Brossard,Québec"
203453,,Portugal,"Grenoble,Isère,France"
203483,Vancouver,"Vancouver,BC","Brossard,Québec"
203505,"Commerce Équitable,Ecocert",Chine,France
203512,Chine,France,Paris
203527,Pays-Bas,Pays-Bas,Dilbeek - Belgique
203748,Costa Rica,Costa Rica,Costa Rica
203929,Canada,Royal Bee Farm of Canada,Canada
203949,,"Rijksweg 33,  8531 Bavikhove België",France
203951,,Belgique,France
203977,France,Massy,France
204388,,"Simply Orange Juice Company,Florida,USA","Chicago,Illinois,USA"
204397,,United Kingdom,"Liverpool,United Kingdom"
204425,India,"Kolkata,India","New Delhi,India"
204990,,Canada,Canada
205294,Corea del Sur,"Seul,Corea del Sur",Walmart
205295,Corea del Sur,"Seul,Corea del Sur",Walmart
205299,Corea del Sur,"Seul,Corea del Sur",Walmart
205300,Corea del Sur,"Seul,Corea del Sur",Walmart
205301,Corea del Sur,"Seul,Corea del Sur",Walmart
205302,Corea del Sur,"Seul, Corea del Sur",Walmart
205304,Corea,Seul Corea del sur,Walmart
205305,Corea del sur,Seul Corea del sur,"Walmart,Soriana"
205377,,"La Jolla,California,USA","Tyler,Texas,USA"
205535,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205538,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205539,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205545,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205551,Estados Unidos,Sinaloa,Walmart
205552,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205554,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205571,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
205573,Estados Unidos,Sinaloa,Walmart
205574,ESTADOS UNIDOS,ESTADOS UNIDOS,WALMART
205580,Estados Unidos,Sinaloa,Walmart
205702,E.U.A.,E.U.A.,Wal-mart
206119,Mexique,Mexique,France
206577,,Royaume-Uni,France
206578,9 woodlands link singapore 738723,singapour,france
206781,United States,New York,United States
206783,United States,new york,United States
207217,,Australia,"San Francisco,California,USA"
207550,Canada,"China,USA","San Francisco,California,USA"
208002,,"California,USA","Washington,USA"
208382,,"Québec,Canada","Lyon,France"
208383,,"Québec,Canada",France
208385,,"Québec,Canada","Lyon,France"
208610,Importé par Cie 2 Ameriks Inc.,Snowdon Montréal Québec,Saint-Jean-sur-Riche
208770,figue de corse,San lurenzu,France
208834,United States,"Addidon, Il 60101",United States
209293,,indonesia,"Paris,London,United Kingdom"
209336,,États-Unis,"États-Unis,France,Lille"
209339,,États-Unis,"France,Lille,États-Unis"
209345,Mexico,Mexico,"Lisarow,NSW,Australia"
209447,,Israël,"Lyon,France"
209517,EU,Belgium,"Liverpool,United Kingdom"
209519,United Kingdom,United Kingdom,"Liverpool,United Kingdom"
209604,issus de l'agriculture biologique,Agen,France
209611,Espagne,madrid,Espagne
209652,Australia,Australia,"Sydney,NSw,Australia"
209658,,Halle,Belgique
209692,,France,Belgique Couillet
209717,México,México,México
209764,France,Avignon,France
209832,"Year Ngan,Shan Highlands Myanmar","South Okkalapa Township,Myanmar",Yangon
209921,,"La plaine des Cafres,  97418",La Réunion
209986,Pérou,Quiberon France,France
209991,,Sweden,"St Martin d'Hères,France"
210000,,Spain,"Liverpool,United Kingdom"
210009,Morocco,Morocco,Ireland
210026,,Suède,France
210029,,Allemagne,"Vitrolles,France"
210060,Italie,Arcugnano,Belgique
210064,,United kingdom,"london,united kingdom"
210080,"Norfolk,UK",UK,"Willesden,London,UK"
210116,,United Kingdom,"London,UK"
210119,,United Kingdom,"City of London,London,UK"
210139,United Kingdom,United Kingdom,"Kilburn,london,uk"
210144,EU Agriculture,UK,UK
210172,Norwegen,Deutschland,Deutschland
210191,,india,Colombia
210198,,France,France
210207,,laiterie de saint malo,france
210274,france,france,nantes
210345,Amérique latine,Allemagne,"Illkirch,france"
210484,,saint gilles 30800,France
210489,France,Les Essarts,France
210491,Italy,Italy,"NSW,Australia"
210511,,Schweden,Berlin
210516,,"Karben,  Deutschland","Wiesbaden, Deutschland"
210532,Pays-Bas,Pays Bas,France
210552,Italie,Carpi,France
210576,Denmark,United Kingdom,"london,uk"
210582,Thailand,Thailand,"NSW,Australia"
210591,,France,"France,Nantes"
210650,,revel,fr
210671,,"Northumberland,Pennsylvania",New York City
210676,,Royaume-Uni,France
210692,China,Denmark,"Brent,London,UK"
210699,,France,France
210730,,france,France
210735,France,France,France
210763,,France,France
210813,incommu,France,France
210830,"mer du nord islande et feroé ouest ecosse, mer celtique et manche",Epreville Haute Normandie,suisse
210854,China,China,"NSW,Australia"
210936,,United Kingdom,"City of London,London,UK"
210937,,Franche comté,France
210938,France + Afrique + Amérique latine,france,France
210941,France,france,France
210982,,"Florette Mâcon (Filiale Agrial) - 335 Rue des Pouilly Vinzelles - Espace Entreprises Loche - 71000 Mâcon,Saône-et-Loire,Bourgogne,France","Saint-Maurice-de-Beynost,France"
211032,"États-Unis,Canada,Chili",Allemagne,"France,Douvres-La-Délivrande"
211048,,Finland,"Vitrolles,France"
211050,,Suède,France
211054,,Suède,"Vitrolles,France"
211058,,Espagne,"France,Saint-Herblain"
211062,Italie,Piticchio di Arcevia,France
211064,,Denmark,"Hénin-Beaumont,France"
211073,Belgique,Belgique,Belgique
211101,EU,Germany,"Barnet,London,UK"
211109,Lozère,Lozère en France,France
211116,Italie,italie,France
211130,Agen,Villeneuve S/Lot,France
211244,,"Alpina Savoie (Filiale Groupe Galapagos) - 209 Rue Aristide Bergès - 73000 Chambéry,Savoie,Rhône-Alpes,France","Miribel,France"
211248,Italie,PRODUIT PAR CONSORZIO LATTERIE VORGILIO,France
211341,,peaugres 07340,France
211385,Bretagne,"Le Raden,  Plouvien",France
211399,77,nc,France
211411,Tunisie,Tunisie,Tunisie
211427,,"Laiterie Grand'Ouche (Filiale Savencia Fromage & Dairy) - 20 Rue de la Grand'Ouche - 16200 Réparsac,Charente,Poitou-Charentes,France","Beynost,France"
211428,france,Quessoy 22120,France
211447,INGLATERRA,INGLATERRA,MEXICO
211499,Turquie,Turquie,France
211514,"Bourgogne,France",Saint-Paul en Jarez,Lyon
211516,,Finlande,France
211520,,Suède,Toulouse/Roques
211523,,Suède,"hénin-beaumont,france"
211531,,Lithuanie,"Grenoble,France"
211533,,fr:Suède,"Vitrolles,France"
211581,,Australia,"NSW,Australia"
211598,France,France,France
211615,Pérou,Pérou,France
211682,lait pasteurisé,Bourgogne,France
211803,Union européenne,FR 69.238.010 CE,France
211804,,Thailand,"Würzburg,Bayern,Deutschland"
211833,"Turquie, Espagne, Italie",France,France
211876,France,18220 RIANS Laiterie Triballat,France
211899,,Suède,"Nantes,France"
211901,Suède,Suède,Roques France
211903,,Espagne,France
211905,,Suède,"France,Saint-Herblain"
211906,,Alemania,Valencia
211907,,Suède,"Vitrolles,France"
211950,californie,californie,draguignan france
211966,,Allemagne,France
211976,Switzerland,Switzerland,"NSW,Australia"
211982,?,France 68600 Biesheim,France
212048,,casseneuil,France
212050,Australia,Australia,"NSW,Australia"
212147,lait ferments sel presure,31350 Escanacrabe,France
212150,Japan,"Nagoya,Japan",Taipei
212167,Union Européenne,Suède,"Saint-Priest,Rhone,France,Southampton,United Kingdom"
212170,,Sweden,"Southampton,United Kingdom"
212181,,Duitsland,"Vitrolles,France"
212185,,Sweden,France
212220,Grèce,Grèce,France
212221,Grèce,Grèce,France
212282,France,France,France
212290,"Jurica,Queretaro,México","Jurica,Queretaro,México",México
212291,,Boulogne-Billancourt,France
212329,Suisse,suisse,Suisse
212445,MEXICO,MEXICO,MEXICO
212466,,Suède,"France,Nantes"
212478,,Suède,"Hénin-Beaumont,France"
212484,,Belgique,"Hénin-Beaumont,France"
212485,,Germany,"Southampton,United Kingdom"
212499,,Zweden,"Vitrolles,France"
212507,fima olá - produtos alimentares,Santa iria Azóia,Lisboa
212509,"Россия, Белгородская область","Россия,  Белгородская область,  Белгород",Россия
212514,United States,Freeland pensylvania,Canada
212568,,"Laiterie Grand'Ouche (Filiale Savencia Fromage & Dairy) - 20 Rue de la Grand'Ouche - 16200 Réparsac,Charente,Poitou-Charentes,France",France
212694,,Belgique,Belgique
212727,,Allemagne,"Hénin-Beaumont,France"
212730,,Sweden,"Southampton,United Kingdom"
212735,?,?,France
212797,France,weyersheim 67720,France
212803,Union européenne,Allemagne,France
212807,France,d'attrait 50260,France
212868,,France,France
212881,France,france,France
212916,,France,France
212956,France,plouvien,France
212959,France,GRIEGES,France
212969,,Suède,"Vitrolles,France"
212973,,Suède,"Saint Martin d'Hères,France,38407"
212976,,Sweden,"Southampton,United Kingdom"
212983,,Allemagne,France
212987,,Suède,France
212991,,Allemagne,"Vitrolles,France"
213014,alsace,Sarre-Union,France
213048,,Madrid,France
213049,,34770 gigean,France
213078,,Italie,Paris France
213101,France,Jouy 89150,France
213147,France,BEAUGAS 47290,France
213153,,Sweden,"Southampton,United Kingdom"
213154,,Italy,"Southampton,United Kingdom"
213164,,Zweden,"Vitrolles,France"
213172,,Zweden,"Vitrolles,France"
213222,France,Heimsbrunn,France
213273,France,Lyon France,France
213311,,"посёлок Новый Свет,Гатчинский район,Ленинградская область,Россия","Красногорский район,Московская область,Россия"
213314,Agriculture UE/non-UE,France,Grenoble
213315,,Thaïlande,France
213340,,Allemagne,"Saint-Maur des Fossés,France,Rennes"
213344,,Suisse,"France,Nantes"
213359,"Manantial Amer Palatin,Amer,Selva (comarca),Gerona (provincia),Cataluña,España","Manantial Amer Palatin,Amer,Selva (comarca),Gerona (provincia),Cataluña,España","Portbou,España"
213374,España,"Morón de la Frontera, Sevilla (provincia), Andalucía, España",España
213375,France,"Coopérative Isigny Sainte Mère,14230 Isigny-sur-Mer,Calvados,Basse-Normandie,France,Normandie","Le Plessis Robinson,France"
213377,"Manantial Sigüenza,Moratilla de Henares,Sigüenza,Guadalajara (provincia),Castilla-La Mancha,España","Manantial Sigüenza,Moratilla de Henares,Sigüenza,Guadalajara (provincia),Castilla-La Mancha,España","Madrid,España"
213380,,Canada,"Ottawa,Canada"
213392,,Autriche,"Villecresnes,France"
213394,España,"Valdastillas,Cáceres (provincia),Extremadura,España","Madrid,España"
213396,,"Estepa,Sevilla (provincia),Andalucía,España","Madrid,España"
213397,"Zona amparada por la I.G. V.P. Campo de la Guardia,La Guardia,Toledo (provincia),Castilla-La Mancha,España","La Guardia,Toledo (provincia),Castilla-La Mancha,España",España
213399,"Zona amparada por la D.O.Ca. Rioja, España","Logroño, La Rioja, España",España
213406,"Villamalea,Albacete (provincia),Castilla-La Mancha,España","Villamalea,Albacete (provincia),Castilla-La Mancha,España","Madrid,España"
213407,"Villamalea,Albacete (provincia),Castilla-La Mancha,España","Villamalea,Albacete (provincia),Castilla-La Mancha,España","Madrid,España"
213409,"Agricultura UE,Agricultura no UE",Alemania,"Madrid,España"
213410,España,"Tercia (pedanía),Lorca,Murcia (comunidad autónoma),España","Madrid,España"
213414,"Valencia (provincia),Comunidad Valenciana,España","Játiva, Valencia (provincia), Comunidad Valenciana, España","Madrid,España"
213453,,"Charente,France",Sceaux
213473,,"France,Ireland","France,Beynost,Courrières"
213474,,France,"France,Beynost,Rennes"
213477,Agricultura UE,"Arróniz, Navarra, España","Madrid,España"
213483,España,"Villaconejos,Madrid (comunidad autónoma),España","Madrid,España"
213485,"Granada (provincia),Andalucía,España","Motril,Granada (provincia),Andalucía,España","Madrid,España"
213500,,"Yoplait France (Filiale General Mills/Sodiaal International) - 49 Route d'Auxerre - 89470 Monéteau,Yonne,Bourgogne,France","Lyon,France"
213501,,France,"Lyon,France"
213503,,France,"France,Rennes"
213504,,France,"France,Rennes"
213514,"[CACAO],América del Sur","Berlín,Alemania",España
213520,,France,"Paris,France"
213527,,France,"Paris,France"
213530,,France,"Paris,France"
213531,,France,"Paris,France"
213536,France,France,"Paris,France,Rennes"
213545,,"Antequera,Málaga (provincia),Andalucía,España",España
213546,,"La Calahorra,Granada (provincia),Andalucía,España","Madrid,España"
213548,"Agricultura UE,Agricultura no UE","Wiesbaum,Vulkaneifel (distrito),Renania-Palatinado,Alemania","Madrid,España"
213549,"Agricultura UE,Agricultura no UE","Wiesbaum,Vulkaneifel (distrito),Renania-Palatinado,Alemania",España
213550,"Agricultura UE,Agricultura no UE,Wiesbaum","Wiesbaum,Vulkaneifel (distrito),Renania-Palatinado,Alemania","Madrid,España"
213551,,France,"Paris,France,Cesson Sévigné"
213553,,"Pfarrkirchen,Rottal-Inn (distrito),Baviera,Alemania",España
213555,,"Pfarrkirchen,Rottal-Inn (distrito),Baviera,Alemania",España
213563,,"Roding-Neubäu,Roding,Cham (distrito),Baviera,Alemania",España
213564,,"Roding-Neubäu,Roding,Cham (distrito),Baviera,Alemania",España
213567,Agricultura no UE,"[DISTRIBUIDOR],Oberkohlstätten,Unterkohlstätten,Oberwart (distrito),Burgenland,Austria","Madrid,España"
213568,,"Halle (Sajonia-Anhalt), Sajonia-Anhalt (estado), Alemania","Madrid,España"
213569,"Huelva (provincia),Andalucía,España","Lepe, Huelva (provincia), Andalucía, España","Madrid,España"
213573,"Haute-Savoie,Rhône-Alpes,France","Société Coopérative Agricole des Producteurs de Reblochons de la Vallée de Thônes (Sté Coop Agric Product Reblochon Vall) - Route d'Annecy - 74230 Thônes,Haute-Savoie,Rhône-Alpes,France","Thônes,France"
213576,"Agricultura UE,Agricultura no UE",Alemania,"Madrid,España"
213588,,"Etablissements Paul Paulet - EPP (Filiale MWBrands) - 4 Rue du Pont Dinou - ZI de Pouldavid - 29100 Douarnenez,Finistère,Bretagne,France",France
213598,,"Soulié Restauration (Filiale William Saurin) - 392 Rue des Artisans - ZA Bel Air - 12000 Rodez,Aveyron,Midi-Pyrénées,France","Lyon,France"
213602,"Viande de Porc,Union Européenne","Etablissements Berni et Cie - Rue du Port Sec - ZI de Tavannes - 55100 Verdun,Meuse,Lorraine,France","Villers Bocage 80260,France"
213605,,"Yffiniac,Côtes d'Armor,Bretagne,France","Villers Bocage 80260,France"
213611,,"[FABRICANTE],Italia,[DISTRIBUIDOR],Mülheim an der Ruhr,Düsseldorf (región),Renania del Norte-Westfalia,Alemania",España
213612,,"[FABRICANTE],Italia,[DISTRIBUIDOR],Mülheim an der Ruhr,Düsseldorf (región),Renania del Norte-Westfalia,Alemania","Madrid,España"
213645,,Normandie,"Rouen,France"
213669,,"Hamal Signature - Steenweg op Tielen 53 - 2300 Turnhout,Province d'Anvers,Région flamande,Belgique","Villers Bocage 80260,France"
213670,,"Hamal Signature - Steenweg op Tielen 53 - 2300 Turnhout,Province d'Anvers,Région flamande,Belgique","Villers Bocage 80260,France"
213671,Colin d'Alaska (Theragra chalcogramma),"Marie Surgelés - MS (Filiale Groupe Lambert Dodard Chancereul - LDC) - Zone Economique de Coquine - Le Pont de Barroux - 79600 Airvault,Deux-Sèvres,Poitou-Charentes,France","Villers Bocage 80260,France"
213684,,"Senoble Desserts Premium (Filiale Senoble) - 9 Rue Galilée - ZAC de Belle Aire - 17440 Aytré,Charente-Maritime,Poitou-Charentes,France",France
213691,,"Allemagne,Unterhaching","Courrières,France"
213692,,"[ENVASADOR],Halle (Sajonia-Anhalt),Sajonia-Anhalt (estado),Alemania","Madrid,España"
213694,,"Autol,La Rioja,España","Madrid,España"
213695,,"Autol,La Rioja,España",Madrid
213702,"Murcia (comunidad autónoma), España","La Hoya (pedanía), Lorca, Murcia (comunidad autónoma), España","Madrid, España"
213704,,"[DISTRIBUIDOR],Alemania",España
213705,"[KAKAO],São Tomé,São Tomé und Príncipe","Waldbaur Feine Schokoladen GmbH,Stollwerck GmbH,Köln,Köln (Regierungsbezirk),Nordrhein-Westfalen,Deutschland",Spanien
213721,Agriculture UE / non UE,"Senagral (Filiale Senoble) - Avenue des Saulniers - Zone Industrielle - 57170 Château-Salins,Moselle,Lorraine,France","Courrières,France"
213723,,"Estepa, Sevilla (provincia), Andalucía, España","Madrid, España"
213726,,"Orgaz, Toledo (provincia), Castilla-La Mancha, España","Madrid, España"
213727,,United Kingdom,"City of London,London,UK"
213728,,Allemagne,France
213730,"Agricultura UE,Agricultura no UE",Alemania,España
213731,"Agricultura UE,Agricultura no UE",Alemania,España
213739,,United Kingdom,"Heathrow,United Kingdom"
213740,,"Berlín,Alemania",España
213742,"Murcia (comunidad autónoma), España","Lebor (pedanía), Totana, Murcia (comunidad autónoma), España","Madrid, España"
213743,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213744,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213745,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213746,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213747,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213748,,"Estepa, Sevilla (provincia), Andalucía, España","Madrid, España"
213749,mexique,france 45 la ferte st aubin,"bordeaux,e leclerc"
213750,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213751,,"Antequera, Málaga (provincia), Andalucía, España","Madrid, España"
213753,"Agricultura UE,Agricultura no UE","San Adrián,Navarra,España","Madrid,España"
213756,,"Dakar,Senegal","Dakar,Senegal"
213761,Agricultura UE,"Italia,[DISTRIBUIDOR],Alemania",España
213773,"Agricultura UE,Agricultura no UE",Alemania,España
213774,"Agricultura UE,Agricultura no UE",Alemania,España
213776,,"Roding-Neubäu,Roding,Cham (distrito),Baviera,Alemania",España
213791,France,France,"Briançon,France"
213796,"Agricultura UE,Agricultura no UE",Alemania,España
213797,"Agricultura UE,Agricultura no UE",Alemania,España
213799,France,"Sarthe,France","77000,France"
213801,bourgogne,italie,France
213809,Grèce,grèce,kraainem (Bruxelles)
213814,,"28310 Janville,France,SIRET:50292362600019","Paris,France"
213815,,"La Ferme de Sigy,chemin départemental 62,77520 Sigy,France,SIRET:79448186100019","Paris,France"
213816,,"La Ferme de Sigy,chemin départemental 62,77520 Sigy,France,SIRET:79448186100019","Paris,France"
213817,,"62310 Créquy,France","Paris,France"
213821,España,"[FABRICANTE],Cañada, Alicante (provincia), Comunidad Valenciana, España","La Romana,España"
213824,France,France,"France,Beynost"
213828,,Casa Taradellas Barcelona,Altea
213830,italie,italie,saint lys france
213831,,France,saint pierre et miquelon
213833,Espagne,Espagne,France
213839,,03530 La Nucia,La Nucia
213844,,"Chine,CN","Paris,France"
213855,,France,"Paris,France"
213856,France,"Florette Food Service,66440,Torreilles","Paris,France"
213859,,France,"Courrières,France,Rennes"
213861,,Bockum-Hövel,Münster
213870,,France,France
213876,,France,France
213877,,Allemagne,France
213879,,France,France
213880,,"22120,Quessoy,France","Paris,France"
213881,,Grande Bretagne,Sète
213882,"France,Ardèche",Ardèche,"Lyon,France"
213883,France,"E.A. SAS,Annecy,74000","Paris,France"
213885,,"Italie,France",France
213895,,France,"Noyelles-Godault,France"
213896,Poland,Bialystok,"Bialystok,Poland"
213898,,France,France
213899,,France,France
213900,Agricultura no UE,"Sant Gregori, Gerona (provincia), Cataluña, España",España
213902,España,"Benisanó, Valencia (provincia), Comunidad Valenciana, España","Madrid,España"
213909,"Point Lobos,California,USA,Monterey","Point Lobos,California,USA,Monterey",United States
213912,España,"Pulpí, Almería (provincia), Andalucía, España","Madrid,España"
213917,España,"Valdastillas, Cáceres (provincia), Extremadura, España","Madrid, España"
213918,España,"Narros de Cuéllar,Samboal,Segovia (provincia),Castilla y León,España","Madrid,España"
213919,España,"Abarán, Murcia (comunidad autónoma), España","Madrid,España"
213921,India,"Salem,Tamil Nadu,India",Bangalore India
213922,Spain,Spain,"Monterrey,Nuevo León,Mexico"
213924,España,España,"Madrid, España"
213926,,Grecia?,España
213928,,"Villafranca,Navarra,España",España
213930,"Amérique Latine,Afrique de l'Est,Indonésie","Portland,USA","Portland,USA"
213931,"Kayanza,Burundi","Paris,France","Paris,France"
213932,"Dipilto,Nicaragua","Paris,France","Paris,France"
213933,"Caranavi,Las Yungas,Bolivie","Bretagne,France","Paris,France"
213934,Ethiopie,"San Francisco,USA","San Francisco,USA"
213935,"Sulawesi,Indonésie","Paris,France","Paris,Franc,e"
213938,Indonésie,"Reykjavik,Islande","Islande,Reykjavik"
213939,"Apaneca,Salvador","Paris,France","Paris,France"
213940,Ethiopie,"Paris,France","Paris,France"
213941,"Fortaleza,Brésil","Paris,France","Paris,France"
213944,Ethiopie,"Portland,USA","Portland,USA"
213945,Bolivie,"San Francisco,USA","San Francisco,USA"
213952,Guatemala,"Paris,France","Paris,France"
213953,France,"Paris,France","Paris,France"
213954,France,"Paris,France","Paris,France"
213955,España,"Narros de Cuéllar,Samboal,Segovia (provincia),Castilla y León,España","Madrid,España"
213960,Union Européenne,France,France
214015,,Spain,Spain
214022,,"Berlin,Deutschland",Spanien
214023,"Saumon atlantique (Salmo salar),Norvège,Lettre (N),Chili,Lettre (C),Grande-Bretagne,Lettres (GB),Irlande,Lettre (I)","Frima NV - Napoleonlaan 16 - 8400 Ostende,Province de Flandre-Occidentale,Région flamande,Belgique","Villers Bocage 80260,France"
214059,,Union Européenne,France
214062,,France,"France,Carquefou"
214072,"[COL LOMBARDA],Unión Europea",Alemania,España
214080,,Union Européenne,"Gap,France"
214081,,"Refresco France 2885 Route des Pangons 26260 Margès,France",France
214083,Porc origine France,France,Saint Pierre - Ile de La Réunion
214085,,France,Lyon
214087,"Agricultura UE,Agricultura no UE","[DISTRIBUIDOR],Candreita,Navarra,España",España
214088,,"Mendavia,Navarra,España",España
214094,Allemagne,Molkerei Gropper GmbH & Co. KG Am Mühlberg 2 D-86657 BISSINGEN Allemagne,France
214095,,Italie,France
214096,France,France,France
214097,Suisse,SUISSE LINDT&SPRÜNGLI CH-8802 KILCHBERG SUISSE,Belgique
214098,,"Groupe Fructa Partner 119 rue Michel Aulas F-69400 Limas,France,belgique",France
214120,France,France,France
214121,Deutschland,"Deutschland,Stuttgart",Stuttgart
214123,,"France,Provence","France,Perpignan"
214124,,"France,Provence","France,Perpignan"
214125,,"Vilassar de Mar,Barcelona (provincia),Cataluña,España",España
214126,,"PAYS BAS,COROOS Conserven B.V 4420 AC Kapelle",Belgique
214127,,France,France
214128,"Ardèche,France",Ruoms,"Mirabel,France"
214132,,"ALLEMAGNE,Molkerei Gropper GMBH & CO KG Am Mühlberg 2 -D-86657 BISSINGEN",France
214135,,Belgique,Belgique
214136,,France,"Toulouse,France"
214139,"Agricultura UE, Agricultura no UE",Alemania,España
214140,"Agricultura UE, Agricultura no UE",Alemania,España
214141,"Agricultura UE, Agricultura no UE",Alemania,España
214142,"Agricultura UE,Agricultura no UE",Alemania,España
214143,"Agricultura UE, Agricultura no UE",Alemania,España
214148,Deutschland,"Deutschland,Stuttgart",Stuttgart
214149,,"Novelda,Alicante (provincia),Comunidad Valenciana,España",España
214150,"[KAKAO],Südamerika","Berlin,Deutschland",Spanien
214152,,"[ENVASADOR],Greven,Distrito de Steinfurt,Renania del Norte-Westfalia,Alemania",España
214153,India,"[ENVASADOR],Greven,Distrito de Steinfurt,Renania del Norte-Westfalia,Alemania",España
214154,,"[ENVASADOR],Greven,Distrito de Steinfurt,Renania del Norte-Westfalia,Alemania",España
214158,,France,France
214159,,France,"Cesson Sévigné,France"
214160,,France,"Cesson Sévigné,France"
214166,,Deutschland,Spanien
214168,,France,"Cesson Sévigné,France,Trignac"
214176,,France,France
214177,,France,France
214178,,France,"Cesson Sévigné,France"
214179,,France,"Cesson Sévigné,France"
214180,,Alemania,España
214181,,Alemania,España
214182,,France,"Cesson Sévigné,France"
214183,,France,"Cesson Sévigné,France"
214184,,"[FABRICANTE],Alemania,[DISTRIBUIDOR],Hamburgo,Alemania",España
214185,,"Bedarrides,France","Noyelles-Godault,France"
214186,,France,"Cesson Sévigné,France"
214188,,"Autol, La Rioja, España",España
214189,"Océan Pacifique,FAO 87",Espagne,France
214190,,France,"Cesson Sévigné,France"
214191,,France,"Cesson Sévigné,France"
214192,,France,"Cesson Sévigné,France"
214193,,Turkey,"Istanbul,Turkey"
214195,allemagne,allemagne,france
214202,"İstanbul,Turkey","Eskişehir,Turkey","İstanbul,Turkey"
214204,,Espagne,"Courrières,France"
214205,,France,France
214209,,France,"Courrières,France"
214210,,Belgique,"Villers Bocage 80260,France"
214213,"LeHa SCHLAGFIX gesüßte Schlagcreme Tetra Pak Verpackung,Chocolat noir callebaut à 54.9%","Belgique,Retinne","Belgique,Retinne"
214214,,"Belgique,Retinne","Belgique,Retinne"
214215,Chocolat noir callebaut à 54.9%,"Belgique,Retinne","Belgique,Retinne"
214216,,Belgique,"Belgique,Retinne"
214217,Chocolat noir callebaut à 54.9%,"Belgique,Retinne","Belgique,Retinne"
214218,Chocolat noir callebaut à 54.9%,"Belgique,Retinne","Belgique,Retinne"
214219,,Belgique,"Belgique,Retinne"
214220,,"Belgique,Retinne","Belgique,Retinne"
214221,,"Belgique,Retinne","Belgique,Retinne"
214222,Chocolat noir callebaut à 54.9%,"Belgique,Retinne","Belgique,Retinne"
214223,Chocolat noir callebaut à 54.9%,"Belgique,Retinne","Belgique,Retinne"
214224,LeHa SCHLAGFIX gesüßte Schlagcreme Tetra Pak Verpackung,"Belgique,Retinne","Belgique,Retinne"
214225,"mascarpone sans lactose,chocolat callebaut noir à 54.9%","Belgique,Retinne","Belgique,Retinne"
214226,,France,"Rennes,France"
214227,,France,France
214228,France,France,France
214234,,France,France
214236,,spain,spain
214237,,France,France
214239,,Allemagne,"Villers Bocage 80260,France"
214241,"Gerona (provincia), Cataluña, España","Sant Pere Pescador, Gerona (provincia), Cataluña, España","Madrid,España"
214242,,"Bremen, Bremen (estado), Alemania",España
214243,,"Flandes,Bélgica",España
214244,,Alemania,España
214245,,France,France
214250,,Alemania,España
214251,,France,France
214252,,France,France
214253,Cameroun,Cameroun,"France,Cameroun,Guinée équatoriale,Nigéria"
