code,product_name,stores,carbon-footprint_100g,nutrition-score-fr_100g,price_per_100g,store_currency
3700214612118,Noir Zestes de Citron,Super U,177,20,2.86,EURO
3700214613108,Noir fèves de cacao,,170,18,2.96,EURO
3700214613139,Cookies Nougatine,Carrefour,160,,0.39,EURO
3700214613184,Lait Caramel Beurre salé,Auchan,150,26,0.398,EURO
3700214613788,Nectar ananas mangue passion,Carrefour,300,13,0.418,EURO
3700214613795,Nectar banane goyave acerola,Carrefour,94,16,0.418,EURO
3700214614266,Pérou 90%,"Auchan,Leclerc,Magasins U",197,14,2.69,EURO
3700214614983,Banane coco Alter Eco,Carrefour,102,16,0.425,EURO
3700214614990,Goyave passion ,Carrefour,102,15,0.53,EURO
3700214616260,Alter eco Noir amandes entières,Carrefour Lingostière,122,20,2.78,EURO
3700214616987,Chocolat noir 70%,"Auchan, Magasins U",237,18,2.75,EURO
3700214617038,Noir pointe de piment,Leclerc,219,20,2.44,EURO
3700214617045,Noir Éclats de Gingembre,Leclerc,205,20,2.8,EURO
3700214617410,"Chocolat noir, éclats amandes","Carrefour,Carrefour",153,19,0.99,EURO
3700214617434,Alter eco 90% Pérou,Géant,197,14,2.49,EURO
3700214617632,Noir Fruit de la Passion,"Leclerc, Magasins U",214,20,3.01,EURO
3760121211033,Yaourts aux fruits mixés,Coop,0,2,0.365,EURO
4006040301097,Sucre de canne complet Rapadura,Raiponce F84300 Cavaillon,17,14,0.574,EURO
4864394070010,Tomato,Kora Georgia,0,-6,0.236,EURO
4864394070027,Cucumber,Kora Georgia,0,-5,,
4864394070034,Carrot,,0,-7,0.92,EURO
5010092093045,Soft white,Food And Wine,125,0,,
5410473031015,Salade De Saumon,Carrefour,0,16,1.374,EURO
5411188081487,Soya Cuisine,Ma Vie En Bio,0,3,0.556,EURO
5411188125440,Boisson Au Soja Fraise Bio - 250ML - Provamel,Alsastore,0,-1,0.259,EURO
5411188125488,Soya Banana,Alsastore,0,,0.169,EURO
5425008346335,Chips de pommes enrobées de chocolat noir NewTree,"Carrefour,Delhaize,Cora,Match,Caméléon",0,20,3.32,EURO
5941341000142,Carne de Porc in suc propriu - Scandia,"Auchan,Carrefour,Kaufland",300,11,2.063,EURO
6194005447282,Maestro Sensations,,0,25,,
7310130010866,Kungsörnen Färdiggräddade Pannkakor,,130,,,
7610200010841,Risotto S. Andrea M-Classic,Migros,281,-1,0.255,CHF
7610200010902,Riz Carolina Parboiled M-Classic,Migros,324,-1,0.225,CHF
7610200059222,Riz BASMATI,Migros,362,-1,0.29,CHF
7610200067647,Tortelloni ricotta e spinaci,Migros,288.9,1,1.5,CHF
7610200379351,Yogourt fraise BIO,Migros,180.9,3,0.6,CHF
7610200398697,Yogourt Chocolat ferme M-Classic,Migros,267.4,4,0.6,CHF
7610200398703,Yogourt Mocca ferme M-Classic ,Migros,204.5,3,0.6,CHF
7610700947289,Ricola blackcurrant cassis,Cactus,0,2,,
