code,product_name,store_currency,price_per_100g,match_scores
3000040048519,Pommes de terre de consommation,EURO,0.006,0.9666666666666668
3000050045997,Poires,EURO,0.0199,0.8333333333333334
3000057026647,Poireaux,EURO,0.0129,0.875
3000121146073,Moules de Bouchot,EURO,0.056799999999999996,0.9444444444444445
3000143042223,Légumes pour Pot au feu,EURO,0.017,0.7
3000143047624,Carottes de Loos équeutées,EURO,0.0843,0.35724206349206356
3011250113027,Gratiné de Poulet,EURO,0.142,0.1865079365079365
3011360030535,Mayonnaise légère,EURO,0.056799999999999996,0.8333333333333334
3012996012001,Pur sirop de canne,EURO,0.026699999999999998,1.0
3015497032004,Chocolat supérieur au lait en forme de boules,EURO,0.2539,0.1701388888888889
3017233001008,Olives vertes dénoyautées,EURO,0.0385,0.9393939393939394
3017233002005,Olives vertes,EURO,0.0385,1.0
3017620402135,Nutella,EURO,0.0559,1.0
3017620423055,Nutella,EURO,0.0559,1.0
3017620428401,Nutella,EURO,0.0559,1.0
3017620694066,Kinder Bueno,EURO,0.1479,1.0
3017620716362,Kinder Maxi,EURO,0.16879999999999998,1.0
3017620721755,Kinder Country - 14+2 barres,EURO,,0.07999999999999999
3017627454809,kinder,EURO,0.1288,1.0
3017760000062,Le Véritable Petit Beurre &quot;dans la poche&quot;,EURO,0.047,0.5548340548340549
3017760002073,Petit Écolier Chocolat au Lait,EURO,0.132,0.5014285714285714
3017760030106,Palmito L'original,EURO,0.08,0.95
3017760755597,Mini Prince,EURO,,0.8333333333333334
3017760819121,Chamonix,EURO,0.048,1.0
3017800078778,Épinards hachés,EURO,0.02,0.8541666666666667
3017800132456,Filet de Merlu blanc au beurre blanc et son riz,EURO,0.0833,0.46190476190476193
3017800200476,Joue de porc à la Provençale & ses pommes de terre,EURO,0.1398,0.5393939393939394
3017800209554,Blanquette de veau et son riz,EURO,0.0703,1.0
3017800209561,Aiguillettes de Poulet & son riz à la crème fraîche,EURO,0.145,0.37222222222222223
3017800209578,Boulettes de Bœuf & son riz sauce tomate,EURO,0.1133,0.2986111111111111
3017800215388,Gratin de Macaroni aux dés de poulet à la Crème fraîche,EURO,0.0356,0.2957792207792208
3018250237722,Graisse d'oie,EURO,0.1559,0.9
3018251430009,Mon Foie Gras de Canard entier prêt à poêler,EURO,0.7996,0.7314814814814814
3018253270009,Rillettes de Canard pur Canard,EURO,0.1591,0.8857142857142858
