code,product_name,store_currency,price_per_100,match_scores
7610200010322,Abricots,CHF,1.9333333333333333,0.875
7610200010544,Noix de Coco Râpée,CHF,7.758620689655173,0.6909090909090909
7610200010841,Risotto S. Andrea M-Classic,CHF,0.25499999999999995,0.75
7610200010902,Riz Carolina Parboiled M-Classic,CHF,0.22499999999999998,0.5833333333333334
7610200011534,Mozzarella Alfredo,CHF,0.9666666666666667,1.0
7610200012913,Cervelas,CHF,,1.0
7610200021120,FLUTES AU BEURRE AFIRO,CHF,2.6,0.8
7610200026385,Pois Jaunes,CHF,1.55,0.5833333333333334
7610200026880,Sardines,CHF,1.8333333333333333,0.875
7610200026897,Sardines à la sauce tomate,CHF,1.4000000000000001,0.7416666666666667
7610200027535,Fondue Tradition,CHF,2.0,1.0
7610200046611,Blanc battu,CHF,0.52,1.0
7610200059222,Riz BASMATI,CHF,1.7058823529411766,0.6428571428571428
7610200059246,Riz CARNAROLI,CHF,0.49000000000000005,0.75
7610200060013,Le Gruyère Switzerland,CHF,2.25,0.7575757575757575
7610200062413,Studentenfutter Sun Queen,CHF,1.35,1.0
7610200067647,Tortelloni ricotta e spinaci,CHF,1.48,1.0
7610200067654,Gnocchi di patate al basilico,CHF,0.6799999999999999,0.6833333333333333
7610200074515,Crispy de poulet,CHF,1.4000000000000001,0.7777777777777778
7610200081193,Cafino Classic,CHF,2.1999999999999997,1.0
7610200085047,Farmer Croc Schokolade,CHF,0.96,1.0
7610200217998,Galettes de Riz Complet Chocolat au Lait,CHF,2.1,0.5595238095238095
7610200232830,Fondue moitié-moitié,CHF,2.0749999999999997,1.0
7610200243430,Lait entier,CHF,4.095238095238095,0.7
7610200243898,Chicken Hot Dog,CHF,0.7375,1.0
7610200257338,Fit Flakes Nature,CHF,0.9199999999999999,1.0
7610200307071,Tomme Vaudoise,CHF,2.0,1.0
7610200313980,Lait entier,CHF,4.095238095238095,0.7
7610200317513,Olives Grecques,CHF,0.9199999999999999,0.7916666666666667
7610200329066,Bruschetta Pomodori,CHF,1.842105263157895,1.0
7610200335609,Wedges,CHF,0.7666666666666666,1.0
7610200337566,Jariba Himbo,CHF,0.18,0.9285714285714286
7610200362735,Lait Entier,CHF,4.095238095238095,0.7
7610200371706,Salami,CHF,1.4666666666666666,1.0
7610200373304,Cottage cheese nature ,CHF,0.7,1.0
7610200373311,Lait Milch Latte - Hoch past,CHF,0.12,0.5833333333333334
7610200376909,Lait Drink Past BIO,CHF,0.12,0.625
7610200379351,Yogourt fraise BIO,CHF,0.4444444444444444,0.5714285714285715
7610200383129,Crème Demi Écrémée ,CHF,4.633333333333334,0.5904761904761905
7610200384959,Babeurre framboise,CHF,2.7,0.6111111111111112
7610200389718,Mini-Fondue,CHF,1.7500000000000002,1.0
7610200421852,Vegetable spring rolls,CHF,1.9285714285714288,0.6666666666666666
7610200422125,Cervelas M Budget,CHF,0.79,0.625
7610200424686,Bio Soja Line Soyog Mangue aha!,CHF,0.5333333333333334,0.7777777777777778
7610200432346,Saumon fumé,CHF,3.5384615384615383,0.6666666666666667
7610200500335,Crisp Rice,CHF,0.7799999999999999,1.0
76102455,Soja Line Tofu Nature,CHF,1.3,0.7916666666666666
76102639,Chocolat drink,CHF,0.5151515151515151,0.8
